Sorterings ID	Data type	Navn DE/ENG	Navn DK	UUID	Global Opvarmning, modul A1-A3	Global Opvarmning, modul C3	Global Opvarmning, modul C4	Global Opvarmning, modul D	Deklareret faktor (FU)	Deklareret enhed (FU)	Masse faktor	Masse enhed	Url (link)	Kommentar	RVT2024
#D1560	Dansk generisk data	-	EPS isolering til lofter / gulve og kælderydervæg / terrændæk 035	530b131d-5f9a-5674-b6ef-5675e1f9f66f	1,518	1,507	0,000027104	-0,04158	1	M2 with R=1 M2K/W	12,9	kg/m³	https://vbn.aau.dk/da/publications/udvikling-af-dansk-generisk-lca-data?		53
#D1561	Dansk generisk data	-	EPS isolering til lofter / gulve og kælderydervæg / terrændæk 040	0ace3898-8fde-5f73-9a05-9969819f9dd7	2,42132	1,738	0,00008481	-0,04599	1	M2 with R=1 M2K/W	16	kg/m³	https://vbn.aau.dk/da/publications/udvikling-af-dansk-generisk-lca-data?		64
#D1556	Dansk generisk data	-	EPS isolering til vægge og tage 035	5238954e-2087-5df4-a772-19ee57531d64	2,50954	1,87	0,00009108	-0,08712	1	M2 with R=1 M2K/W	13,25	kg/m³	https://vbn.aau.dk/da/publications/udvikling-af-dansk-generisk-lca-data?		68
#D1557	Dansk generisk data	-	EPS isolering til vægge og tage 040	f941bd8c-16e5-5c06-a5a2-53de9f62314b	2,68235	2,024	0,00009878	-0,0945	1	M2 with R=1 M2K/W	15	kg/m³	https://vbn.aau.dk/da/publications/udvikling-af-dansk-generisk-lca-data?		69
#G1266	Generisk data	Wdvs verklebung und beschichtung leichtputz mineralisch	ETICS limning og mineralsk letpuds	7f0bb6fe-aa16-5dc3-88c4-cd2f374ed4d3	4,849139979	0,132	0,180560449	0	1	M2	11,4	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/aeb54e7e-6950-41c5-a10e-0ba3b38ea774?version=20.23.050		
#G1270	Generisk data	Wdvs verklebung und beschichtung dekorputz mineralisch	ETICS limning og mineralsk puds (Dekorputz)	c717477d-18a5-5fb5-8c27-f39d313037e4	7,584922232	0,184	0,277116838	0	1	M2	17,4	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/f873f2a7-560a-410c-97e7-dfe121134b26?version=20.23.050		
#G1234	Generisk data	Wdvs verklebung und beschichtung kratzputz mineralisch	ETICS limning og mineralsk puds (Kratzputz)	840b7da7-4268-50af-8408-3c03e10b4a4e	10,10848846	0,385	0,566077927	0	1	M2	35,18	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8dec64ad-430f-4c96-bae1-e46814af2b70?version=20.23.050		
#G1287	Generisk data	Wdvs verklebung und beschichtung silikonharzputz	ETICS limning og silikonepuds	a692c387-918d-51ea-a0cd-cc0c92249b2c	5,552886135	0	0,20077292	0	1	M2	12,3	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/6e95743d-cdf3-4646-a6ea-f9b2bb752821?version=20.23.050		
#G1251	Generisk data	Wdvs verklebung und beschichtung silikat-dispersionsputz	ETICS-limning og belægning af silikatdispersionspuds	0e5cfef7-d391-5890-877a-4f6f421189d4	5,552886135	0	0,20077292	0	1	M2	12,48	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/2d42602d-9913-43ed-8703-d953f7854bca?version=20.23.050		
#G1256	Generisk data	Wdvs verklebung und beschichtung kunstharzputz	ETICS-limning og belægning af syntetisk harpikspuds	7fb60136-3f9b-5fff-96cc-281e14222dd9	6,540645985	0	0,20077292	0	1	M2	12,48	kg/m²	https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/46a05844-3fbf-47ef-889a-e7f1a4b4f825?version=20.23.050		
